AJAX	阿贾克斯
AL AHLI	阿赫利
AL DUHAIL	杜海勒
AL HILAL	希拉尔
AL NASSR	利雅得胜利
AL SADD	萨德
ÁLAVA AB	阿拉维斯
ANDERLECHT	安德莱赫特
ARSENAL	阿森纳
ASTON RB	阿斯顿维拉
ATALANTA	亚特兰大
BAYER LEVERKUSEN	洛沃库森
BEIJING FC	北京人和
BEIJING GUOAN	北京国安
BENFICA	本菲卡
BEŞİKTAŞ	贝西克塔斯
BILBAO BR	毕尔巴鄂竞技
BOCA JUNIORS	博卡青年
BOLOGNA	博洛尼亚
BORDEAUX	波尔多
BOURNEMOUTH RB	伯恩茅斯
BRUTIE	布雷西亚
CAGLIARI	卡利亚里
CELTIC	凯尔特人
CHELSEA B	切尔西
CLUB BRUGGE	布鲁日
CORINTHIANS	科林蒂安
CRUZEIRO	克鲁塞罗
CRYSTAL PALACE RB	水晶宫
CSKA MOSKVA	莫斯科中央陆军
DALIAN YIFANG	大连一方
DYNAMO KYIV	基辅迪纳摩
EVERTON B	埃弗顿
FC BARCELONA	巴塞罗那
FC BAYERN MÜNCHEN	拜仁慕尼黑
FENERBAHÇE	费内巴赫
FEYENOORD	费耶诺德
FIORENTINA	佛罗伦萨
FLAMENGO	弗拉门戈
Free Agents	自由球员
GALATASARAY	加拉塔萨雷
GENK	KRC亨克
GENOA	热那亚
GETAFE A	赫塔菲
GIRONA R	吉罗纳
GRÊMIO	格雷米奥
GUANGZHOU EVERGRANDE	广州恒大
GUANGZHOU R&F	广州富力
INDEPENDIENTE MEDELLÍN	麦德林独立
INTER	国际米兰
INTERNACIONAL	国际体育
İSTANBUL BAŞAKŞEHİR	伊斯坦布尔
JIANGSU SUNING	江苏苏宁
JUVENTUS	尤文图斯
KASIMPAŞA	卡森柏沙
KRASNODAR	克拉斯诺达尔
LAZIO	拉齐奥
LEICESTER B	莱斯特城
LEVANTE RA	莱万特
LILLE	里尔
LIVERPOOL R	利物浦
LOKOMOTIV MOSKVA	莫斯科火车头
MADRID CHAMARTIN B	皇家马德里
MADRID ROSAS RB	马德里竞技
MANCHESTER B	曼城
MANCHESTER UNITED	曼联
MEDELLÍN RA	麦德林独立
MILAN	AC米兰
MONACO	摩纳哥
MONTPELLIER	蒙彼利埃
NANTES	南特
NAPOLI	那不勒斯
NEWCASTLE WB	纽卡斯尔联
NICE	南斯
NORWICH YG	诺维奇
OLYMPIQUE LYONNAIS	里昂
OLYMPIQUE MARSEILLE	马赛
PALMEIRAS	帕尔梅拉斯
PARMA	帕尔马
PORTO	波尔图
PSG	巴黎圣日耳曼
PSV	埃因霍温
RACING CLUB	阿韦亚内达竞赛
RANGERS	流浪者
RENNES	雷恩
RIVER PLATE	河床
ROMA	罗马
SAINT-ÉTIENNE	圣埃蒂安
SAMPDORIA	桑普多利亚
SÃO PAULO	圣保罗
SASSUOLO	萨索罗
SCHALKE 04	沙尔克04
SEVILLA NERVIÓN BR	塞维利亚
SEVILLA TRIANA VB	皇家贝蒂斯
SHAKHTAR DONETSK	顿涅茨克矿工
SHANGHAI SHENHUA	上海申花
SHANGHAI SIPG	上海上港
SPARTAK MOSKVA	莫斯哥斯巴达克
SPORTING CP	里斯本竞技
STRASBOURG	斯特拉斯堡
TORINO	都灵
TOTTENHAM WB	托特纳姆热刺
TOULOUSE	图卢兹
UDINESE	乌迪内斯
UTRECHT	乌德勒支
VALENCIA BN	瓦伦西亚
VASCO GIPUZKOA AB	皇家社会
VÉLEZ SARSFIELD	萨斯菲尔德
VIGO AB	维戈塞尔塔
VILLARREAL A	比利亚雷尔
WATFORD BY	沃特福德
WEST HAM RB	西汉姆联
WOLVERHAMPTON YB	沃尔夫汉普顿流浪
ZENIT	泽尼特
