ALBANIA	阿尔巴尼亚
ALGERIA	阿尔及利亚
ARGENTINA	阿根廷
ARMENIA	亚美尼亚
AUSTRIA	奥地利
BELARUS	白俄罗斯
BELGIUM	比利时
BOSNIA AND HERZEGOVINA	波黑
BRAZIL	巴西
BURKINA FASO	布基纳法索
CAMEROON	喀麦隆
CENTRAL AFRICAN REP.	中非共和国
CHILE	智利
COLOMBIA	哥伦比亚
CONGO DR	刚果
COSTA RICA	哥斯达黎加
CÔTE D'IVOIRE	科特迪瓦
CROATIA	克罗地亚
CZECH REPUBLIC	捷克
DENMARK	丹麦
DOMINICAN REPUBLIC	多美尼加
EGYPT	埃及
ENGLAND	英格兰
FINLAND	芬兰
FRANCE	法国
GABON	加蓬
GEORGIA	格鲁吉亚
GERMANY	德国
GHANA	加纳
GREECE	希腊
GUINEA	几内亚
HUNGARY	匈牙利
ICELAND	冰岛
IRAN	伊朗
ISRAEL	以色列
ITALY	意大利
JAMAICA	牙买加
JAPAN	日本
KENYA	肯尼亚
MALI	马里
MEXICO	墨西哥
MONTENEGRO	黑山
MOROCCO	摩洛哥
NETHERLANDS	荷兰
NIGERIA	尼日利亚
NORWAY	挪威
PERU	秘鲁
POLAND	波兰
PORTUGAL	葡萄牙
REPUBLIC OF KOREA	韩国
ROMANIA	罗马尼亚
RUSSIA	俄罗斯
SCOTLAND	苏格兰
SENEGAL	塞内加尔
SERBIA	塞尔维亚
SLOVAKIA	斯洛伐克
SLOVENIA	斯洛文尼亚
SPAIN	西班牙
SWEDEN	瑞典
SWITZERLAND	瑞士
TANZANIA	坦桑尼亚
TOGO	多哥
TUNISIA	突尼斯
TURKEY	土耳其
UKRAINE	乌克兰
URUGUAY	乌拉圭
USA	美国
VENEZUELA	委内瑞拉
WALES	威尔士
