1	C. RONALDO	左边锋		尤文图斯	意甲	葡萄牙	187	83	34	右脚	94	19	97	93	91	89	88	83	80	91	93	82	83	88	88	94	97	86	84	84	49	55	67	40	40	40	40	40	4	3	7	3	C. RONALDO_左边锋_94
2	L. MESSI	右边锋		巴塞罗那	西甲	阿根廷	170	72	32	左脚	94	19	98	95	97	95	96	88	85	95	65	93	90	86	92	81	65	70	93	84	45	50	59	40	40	40	40	40	1	3	7	3	L. MESSI_右边锋_94
3	NEYMAR	左边锋		巴黎圣日耳曼	法甲	巴西	175	68	27	右脚	92	23	97	88	91	96	92	86	84	86	67	90	89	89	93	80	66	63	91	82	48	49	58	40	40	40	40	40	3	4	6	1	NEYMAR_左边锋_92
4	S. AGÜERO	中锋		曼城	英超	阿根廷	173	70	31	右脚	91	21	97	93	88	88	86	78	69	93	78	73	80	84	88	86	83	74	88	79	50	52	70	40	40	40	40	40	2	3	7	2	S. AGÜERO_中锋_91
5	L. SUÁREZ	中锋		巴塞罗那	西甲	乌拉圭	182	86	32	右脚	91	21	96	91	85	83	84	80	76	91	78	82	84	79	84	86	75	87	89	82	60	58	90	40	40	40	40	40	3	3	6	2	L. SUÁREZ_中锋_91
6	E. HAZARD	左边锋		皇家马德里	西甲	比利时	173	76	28	右脚	91	21	96	86	92	96	93	86	80	85	60	78	83	89	95	81	58	70	95	80	52	47	64	40	40	40	40	40	3	4	8	2	E. HAZARD_左边锋_91
7	R. LEWANDOWSKI	中锋		拜仁慕尼黑	其它欧洲	波兰	185	79	31	右脚	91	21	96	93	91	85	82	73	68	91	88	81	75	82	80	88	89	84	82	79	53	50	65	40	40	40	40	40	3	3	8	3	R. LEWANDOWSKI_中锋_91
8	V. VAN DIJK	中后卫		利物浦	英超	荷兰	193	92	28	右脚	91	21	96	62	76	75	80	82	81	62	92	76	70	79	74	85	89	94	65	85	95	92	88	40	40	40	40	40	2	2	8	3	V. VAN DIJK_中后卫_91
9	SERGIO RAMOS	中后卫		皇家马德里	西甲	西班牙	184	82	33	右脚	90	21	94	65	77	74	75	76	80	73	94	66	71	78	75	76	94	85	80	85	87	90	91	40	40	40	40	40	2	3	7	3	SERGIO RAMOS_中后卫_90
10	PIQUÉ	中后卫		巴塞罗那	西甲	西班牙	194	85	32	右脚	90	22	95	66	79	73	80	85	84	69	93	68	66	76	71	81	87	90	72	88	94	92	83	40	40	40	40	40	2	2	7	3	PIQUÉ_中后卫_90
11	DAVID DE GEA	门将		曼联	英超	西班牙	193	82	29	右脚	90	22	93	42	65	43	48	70	70	43	70	65	51	68	67	71	82	82	63	65	43	43	55	96	94	93	98	97	2	3	6	3	DAVID DE GEA_门将_90
12	A. GRIEZMANN	中锋		巴塞罗那	西甲	法国	176	73	28	左脚	90	22	95	90	87	85	86	84	83	88	75	82	85	87	90	90	81	71	87	85	55	65	68	40	40	40	40	40	2	2	6	3	A. GRIEZMANN_中锋_90
13	J. OBLAK	门将		马德里竞技	西甲	斯洛文尼亚	188	87	26	右脚	90	25	94	40	65	54	46	65	66	40	68	65	57	65	61	84	86	87	70	65	54	58	54	97	95	92	97	95	1	1	7	3	J. OBLAK_门将_90
14	K. DE BRUYNE	前腰		曼城	英超	比利时	181	68	28	右脚	90	22	95	86	91	87	90	92	92	84	62	84	80	78	79	87	65	74	81	87	51	53	56	40	40	40	40	40	3	4	6	2	K. DE BRUYNE_前腰_90
15	H. KANE	中锋		托特纳姆热刺	英超	英格兰	188	76	26	右脚	90	25	95	93	83	80	79	80	81	93	86	75	75	78	77	87	78	86	70	88	55	56	75	40	40	40	40	40	2	3	7	3	H. KANE_中锋_90
16	M. SALAH	右边锋		利物浦	英超	埃及	175	71	27	左脚	90	24	95	88	89	88	90	80	78	86	61	75	85	92	95	78	68	69	90	84	50	51	82	40	40	40	40	40	2	2	7	2	M. SALAH_右边锋_90
17	S. MANÉ	左边锋		利物浦	英超	塞内加尔	175	69	27	右脚	90	24	95	87	89	89	90	75	72	85	77	67	73	94	95	81	80	70	84	85	50	55	82	40	40	40	40	40	2	3	7	3	S. MANÉ_左边锋_90
18	ALISSON	门将		利物浦	英超	巴西	191	91	27	右脚	90	24	94	40	68	65	67	69	72	43	70	65	64	65	68	86	88	87	68	65	66	56	50	97	95	94	97	94	2	2	6	3	ALISSON_门将_90
